component,subject,total,exceptions,days_active,first_seen,last_seen
RLScriptService,VehicleConfigSummaryHourlyReport.ps1,101,101,3,2026-04-26 12:00:05.750000,2026-04-28 10:15:11.967000
RLScriptService,CustomerInventorySourceMapReport.ps1,95,95,3,2026-04-26 12:00:05.750000,2026-04-28 11:00:10.250000
RLScriptService,PrepareLeadQueueReprocessTxnAlert.ps1,95,95,3,2026-04-26 12:00:05.750000,2026-04-28 10:15:12.030000
RLScriptService,CloudExportManage.ps1,80,0,80,2026-03-26 23:00:56.617000,2026-06-13 23:00:57.137000
RLScriptService,AzureFunctions.ps1,80,0,80,2026-03-26 23:01:14.303000,2026-06-13 23:01:22.513000
customer_inventory_refresh,"customer_inventory_refresh, Line: 14",80,80,80,2026-03-27 00:03:01.287000,2026-06-14 00:03:00.797000
RLScriptService,HyundaiOptionDescriptionImport.ps1,79,0,79,2026-03-27 22:01:28.810000,2026-06-13 22:01:07.353000
RLScriptService,HyundaiGenesisRegionalInventoryUpload.ps1,79,0,79,2026-03-27 22:01:19.700000,2026-06-13 22:01:56.603000
RLScriptService,KiaImport.ps1,79,0,79,2026-03-27 22:01:19.637000,2026-06-13 22:00:59.837000
RLScriptService,ToyotaSETImport.ps1,79,0,79,2026-03-27 22:01:19.620000,2026-06-13 22:01:07.180000
database_maintenance_process,Send Email Log Archive,78,0,78,2026-03-26 23:01:00.663000,2026-06-13 23:01:00.933000
database_maintenance_process,"send_email_log_archive_process, Line: 40",77,77,77,2026-03-26 23:01:02.133000,2026-06-13 23:01:01.467000
database_maintenance_process,Mailbox Archive,77,0,77,2026-03-26 23:01:00.650000,2026-06-13 23:01:00.933000
database_maintenance_process,"mailbox_archive_process, Line: 40",76,76,76,2026-03-26 23:01:02.117000,2026-06-13 23:01:01.450000
customer_inventory_source_upsert,"customer_inventory_source_upsert, Line: 66",72,72,25,2026-03-27 10:33:00.927000,2026-06-08 09:39:00.877000
RLScriptService,CustomerInventoryUpload.ps1,69,0,30,2026-03-27 10:29:54.200000,2026-06-12 13:41:25.710000
exception_log_sender,"exception_log_sender, Line: 0",65,65,43,2026-03-28 10:22:00.793000,2026-06-14 05:34:01.167000
franchise_consumer_alias_upsert,"franchise_consumer_alias_upsert, Line: 64",65,65,38,2026-04-03 16:59:00.667000,2026-06-13 06:01:02.620000
franchise_consumer_alias_upsert,"franchise_consumer_alias_upsert, Line: 48",60,60,32,2026-03-28 10:34:01.050000,2026-06-13 06:15:00.813000
contact_upsert,"contact_upsert, Line: 56",56,56,16,2026-03-27 19:08:00.697000,2026-06-08 02:07:01.143000
PrepareLead,BuildADFOptions Log,50,0,31,2026-03-31 23:37:00.980000,2026-06-14 10:35:01.080000
franchise_rep_upsert,"franchise_rep_upsert, Line: 72",49,49,9,2026-04-01 12:07:00.853000,2026-06-02 09:51:01.673000
customer_contact_upsert,"customer_contact_upsert, Line: 67",38,38,9,2026-04-08 09:49:00.540000,2026-06-05 16:45:00.267000
customer_contact_upsert,"customer_contact_upsert, Line: 36",34,34,10,2026-04-30 10:44:01.150000,2026-06-11 09:12:01.033000
execute_at_2300,Roll Process Log,24,0,12,2026-03-28 23:01:00.503000,2026-06-13 23:01:00.933000
app_server_config_sender,"app_server_config_sender, Line: 0",22,22,18,2026-03-31 06:31:02.237000,2026-06-10 07:46:03.223000
execute_every_60_mins_process,Invoke SmartFollowReactivationsExport.ps1,22,0,11,2026-03-30 04:01:01.133000,2026-06-08 04:01:00.480000
execute_every_60_mins_process,Invoke smart_facts_report_process,22,0,11,2026-03-29 19:01:00.987000,2026-06-07 19:01:00.563000
